"amendment","crop","block","plant","wilt_percent"
"0C","Fallow",1,12,0
"0C","Fallow",1,13,0
"0C","Fallow",1,14,50
"0C","Fallow",1,15,0
"0C","Fallow",1,16,50
"0C","Fallow",1,17,0
"0C","Fallow",1,18,0
"0C","Fallow",1,19,0
"0C","Fallow",1,20,50
"0C","Fallow",1,21,0
"0C","Fallow",1,22,0
"0C","Fallow",1,23,0
"0C","Fallow",1,24,0
"0C","Fallow",1,25,0
"0C","Fallow",1,26,50
"0C","Fallow",1,27,0
"0C","Fallow",1,28,0
"0C","Fallow",1,29,0
"0C","Fallow",1,30,50
"0C","Fallow",1,31,0
"0C","Fallow",1,32,0
"0C","Fallow",1,33,0
"0C","Fallow",1,34,0
"0C","Fallow",1,35,0
"0C","Fallow",1,36,50
"0C","Fallow",1,37,50
"0C","Fallow",1,38,50
"0C","Fallow",1,39,50
"0C","Fallow",1,40,50
"0C","Fallow",2,1,0
"0C","Fallow",2,2,0
"0C","Fallow",2,3,0
"0C","Fallow",2,4,0
"0C","Fallow",2,5,50
"0C","Fallow",2,6,0
"0C","Fallow",2,7,0
"0C","Fallow",2,8,0
"0C","Fallow",2,9,0
"0C","Fallow",2,10,0
"0C","Fallow",2,11,0
"0C","Fallow",2,12,50
"0C","Fallow",2,13,0
"0C","Fallow",2,14,0
"0C","Fallow",2,15,50
"0C","Fallow",2,16,50
"0C","Fallow",2,17,50
"0C","Fallow",2,18,0
"0C","Fallow",2,19,0
"0C","Fallow",2,20,50
"0C","Fallow",2,21,0
"0C","Fallow",2,22,0
"0C","Fallow",2,23,0
"0C","Fallow",2,24,0
"0C","Fallow",2,25,0
"0C","Fallow",2,26,0
"0C","Fallow",2,27,0
"0C","Fallow",2,28,50
"0C","Fallow",2,29,50
"0C","Fallow",2,30,0
"0C","Fallow",2,31,50
"0C","Fallow",2,32,0
"0C","Fallow",2,33,0
"0C","Fallow",2,34,0
"0C","Fallow",2,35,50
"0C","Fallow",2,36,50
"0C","Fallow",2,37,50
"0C","Fallow",2,38,50
"0C","Fallow",2,39,50
"0C","Fallow",2,40,50
"0C","Fallow",3,1,0
"0C","Fallow",3,2,0
"0C","Fallow",3,3,0
"0C","Fallow",3,4,0
"0C","Fallow",3,5,50
"0C","Fallow",3,6,50
"0C","Fallow",3,7,50
"0C","Fallow",3,8,50
"0C","Fallow",3,9,50
"0C","Fallow",3,10,50
"0C","Fallow",3,11,0
"0C","Fallow",3,12,0
"0C","Fallow",3,13,50
"0C","Fallow",3,14,50
"0C","Fallow",3,15,0
"0C","Fallow",3,16,0
"0C","Fallow",3,17,0
"0C","Fallow",3,18,0
"0C","Fallow",3,19,50
"0C","Fallow",3,20,50
"0C","Fallow",3,21,50
"0C","Fallow",3,22,50
"0C","Fallow",3,23,0
"0C","Fallow",3,24,0
"0C","Fallow",3,25,0
"0C","Fallow",3,26,0
"0C","Fallow",3,27,0
"0C","Fallow",3,28,0
"0C","Fallow",3,29,0
"0C","Fallow",3,30,0
"0C","Fallow",3,31,0
"0C","Fallow",3,32,0
"0C","Fallow",3,33,0
"0C","Fallow",3,34,0
"0C","Fallow",3,35,50
"0C","Fallow",3,36,50
"0C","Fallow",3,37,50
"0C","Fallow",3,38,50
"0C","Fallow",3,39,50
"0C","Fallow",3,40,50
"0C","Corn",1,1,0
"0C","Corn",1,2,0
"0C","Corn",1,3,0
"0C","Corn",1,4,0
"0C","Corn",1,5,50
"0C","Corn",1,6,0
"0C","Corn",1,7,50
"0C","Corn",1,8,50
"0C","Corn",1,9,50
"0C","Corn",1,10,0
"0C","Corn",1,11,0
"0C","Corn",1,12,0
"0C","Corn",1,13,50
"0C","Corn",1,14,50
"0C","Corn",1,15,0
"0C","Corn",1,16,50
"0C","Corn",1,17,50
"0C","Corn",1,18,0
"0C","Corn",1,19,0
"0C","Corn",1,20,0
"0C","Corn",1,21,0
"0C","Corn",1,22,0
"0C","Corn",1,23,50
"0C","Corn",1,24,50
"0C","Corn",1,25,0
"0C","Corn",1,26,50
"0C","Corn",1,27,0
"0C","Corn",1,28,0
"0C","Corn",1,29,0
"0C","Corn",1,30,0
"0C","Corn",1,31,0
"0C","Corn",1,32,50
"0C","Corn",1,33,50
"0C","Corn",1,34,50
"0C","Corn",1,35,0
"0C","Corn",1,36,0
"0C","Corn",1,37,50
"0C","Corn",1,38,50
"0C","Corn",1,39,50
"0C","Corn",1,40,0
"0C","Corn",2,1,0
"0C","Corn",2,2,50
"0C","Corn",2,3,50
"0C","Corn",2,4,50
"0C","Corn",2,5,0
"0C","Corn",2,6,0
"0C","Corn",2,7,0
"0C","Corn",2,8,50
"0C","Corn",2,9,0
"0C","Corn",2,10,0
"0C","Corn",2,11,0
"0C","Corn",2,12,0
"0C","Corn",2,13,0
"0C","Corn",2,14,0
"0C","Corn",2,15,50
"0C","Corn",2,16,0
"0C","Corn",2,17,0
"0C","Corn",2,18,50
"0C","Corn",2,19,50
"0C","Corn",2,20,0
"0C","Corn",2,21,0
"0C","Corn",2,22,0
"0C","Corn",2,23,0
"0C","Corn",2,24,0
"0C","Corn",2,25,0
"0C","Corn",2,26,0
"0C","Corn",2,27,0
"0C","Corn",2,28,50
"0C","Corn",2,29,50
"0C","Corn",2,30,0
"0C","Corn",2,31,0
"0C","Corn",2,32,50
"0C","Corn",2,33,0
"0C","Corn",2,34,0
"0C","Corn",2,35,0
"0C","Corn",2,36,50
"0C","Corn",2,37,50
"0C","Corn",2,38,50
"0C","Corn",2,39,50
"0C","Corn",2,40,50
"0C","Corn",3,1,0
"0C","Corn",3,2,0
"0C","Corn",3,3,50
"0C","Corn",3,4,0
"0C","Corn",3,5,50
"0C","Corn",3,6,0
"0C","Corn",3,7,0
"0C","Corn",3,8,0
"0C","Corn",3,9,0
"0C","Corn",3,10,0
"0C","Corn",3,11,0
"0C","Corn",3,12,50
"0C","Corn",3,13,0
"0C","Corn",3,14,50
"0C","Corn",3,15,0
"0C","Corn",3,16,0
"0C","Corn",3,17,0
"0C","Corn",3,18,0
"0C","Corn",3,19,0
"0C","Corn",3,20,0
"0C","Corn",3,21,0
"0C","Corn",3,22,0
"0C","Corn",3,23,0
"0C","Corn",3,24,0
"0C","Corn",3,25,0
"0C","Corn",3,26,0
"0C","Corn",3,27,0
"0C","Corn",3,28,0
"0C","Corn",3,29,0
"0C","Corn",3,30,0
"0C","Corn",3,31,50
"0C","Corn",3,32,0
"0C","Corn",3,33,50
"0C","Corn",3,34,50
"0C","Corn",3,35,0
"0C","Corn",3,36,0
"0C","Corn",3,37,0
"0C","Corn",3,38,0
"0C","Corn",3,39,0
"0C","Corn",3,40,0
"0C","Cabbage",1,1,0
"0C","Cabbage",1,2,0
"0C","Cabbage",1,3,0
"0C","Cabbage",1,4,50
"0C","Cabbage",1,5,0
"0C","Cabbage",1,6,0
"0C","Cabbage",1,7,0
"0C","Cabbage",1,8,0
"0C","Cabbage",1,9,50
"0C","Cabbage",1,10,0
"0C","Cabbage",1,11,0
"0C","Cabbage",1,12,0
"0C","Cabbage",1,13,0
"0C","Cabbage",1,14,0
"0C","Cabbage",1,15,0
"0C","Cabbage",1,16,0
"0C","Cabbage",1,17,0
"0C","Cabbage",1,18,0
"0C","Cabbage",1,19,50
"0C","Cabbage",1,20,0
"0C","Cabbage",1,21,0
"0C","Cabbage",1,22,0
"0C","Cabbage",1,23,0
"0C","Cabbage",1,24,0
"0C","Cabbage",1,25,50
"0C","Cabbage",1,26,50
"0C","Cabbage",1,27,0
"0C","Cabbage",1,28,0
"0C","Cabbage",1,29,0
"0C","Cabbage",1,30,0
"0C","Cabbage",1,31,50
"0C","Cabbage",1,32,0
"0C","Cabbage",1,33,0
"0C","Cabbage",1,34,0
"0C","Cabbage",1,35,0
"0C","Cabbage",1,36,0
"0C","Cabbage",1,37,0
"0C","Cabbage",1,38,50
"0C","Cabbage",1,39,50
"0C","Cabbage",1,40,50
"0C","Cabbage",2,1,0
"0C","Cabbage",2,2,50
"0C","Cabbage",2,3,50
"0C","Cabbage",2,4,50
"0C","Cabbage",2,5,50
"0C","Cabbage",2,6,50
"0C","Cabbage",2,7,0
"0C","Cabbage",2,8,0
"0C","Cabbage",2,9,50
"0C","Cabbage",2,10,0
"0C","Cabbage",2,11,0
"0C","Cabbage",2,12,0
"0C","Cabbage",2,13,50
"0C","Cabbage",2,14,50
"0C","Cabbage",2,15,50
"0C","Cabbage",2,16,0
"0C","Cabbage",2,17,50
"0C","Cabbage",2,18,50
"0C","Cabbage",2,19,0
"0C","Cabbage",2,20,0
"0C","Cabbage",2,21,0
"0C","Cabbage",2,22,50
"0C","Cabbage",2,23,0
"0C","Cabbage",2,24,0
"0C","Cabbage",2,25,0
"0C","Cabbage",2,26,0
"0C","Cabbage",2,27,0
"0C","Cabbage",2,28,0
"0C","Cabbage",2,29,0
"0C","Cabbage",2,30,0
"0C","Cabbage",2,31,0
"0C","Cabbage",2,32,0
"0C","Cabbage",2,33,0
"0C","Cabbage",2,34,50
"0C","Cabbage",2,35,50
"0C","Cabbage",2,36,50
"0C","Cabbage",2,37,50
"0C","Cabbage",2,38,50
"0C","Cabbage",2,39,50
"0C","Cabbage",2,40,50
"0C","Cabbage",3,1,0
"0C","Cabbage",3,2,0
"0C","Cabbage",3,3,0
"0C","Cabbage",3,4,0
"0C","Cabbage",3,5,0
"0C","Cabbage",3,6,0
"0C","Cabbage",3,7,0
"0C","Cabbage",3,8,0
"0C","Cabbage",3,9,0
"0C","Cabbage",3,10,0
"0C","Cabbage",3,11,0
"0C","Cabbage",3,12,0
"0C","Cabbage",3,13,0
"0C","Cabbage",3,14,0
"0C","Cabbage",3,15,0
"0C","Cabbage",3,16,0
"0C","Cabbage",3,17,0
"0C","Cabbage",3,18,0
"0C","Cabbage",3,19,0
"0C","Cabbage",3,20,50
"0C","Cabbage",3,21,50
"0C","Cabbage",3,22,50
"0C","Cabbage",3,23,50
"0C","Cabbage",3,24,50
"0C","Cabbage",3,25,50
"0C","Cabbage",3,26,0
"0C","Cabbage",3,27,0
"0C","Cabbage",3,28,0
"0C","Cabbage",3,29,0
"0C","Cabbage",3,30,0
"0C","Cabbage",3,31,0
"0C","Cabbage",3,32,0
"0C","Cabbage",3,33,0
"0C","Cabbage",3,34,0
"0C","Cabbage",3,35,0
"0C","Cabbage",3,36,0
"0C","Cabbage",3,37,0
"0C","Cabbage",3,38,0
"0C","Cabbage",3,39,0
"0C","Cabbage",3,40,0
"3C","Pea",1,1,0
"3C","Pea",1,2,0
"3C","Pea",1,3,0
"3C","Pea",1,4,0
"3C","Pea",1,5,0
"3C","Pea",1,6,0
"3C","Pea",1,7,0
"3C","Pea",1,8,0
"3C","Pea",1,9,0
"3C","Pea",1,10,0
"3C","Pea",1,11,0
"3C","Pea",1,12,0
"3C","Pea",1,13,0
"3C","Pea",1,14,0
"3C","Pea",1,15,0
"3C","Pea",1,16,0
"3C","Pea",1,17,0
"3C","Pea",1,18,50
"3C","Pea",1,19,0
"3C","Pea",1,20,0
"3C","Pea",1,21,0
"3C","Pea",1,22,0
"3C","Pea",1,23,0
"3C","Pea",1,24,0
"3C","Pea",1,25,0
"3C","Pea",1,26,0
"3C","Pea",1,27,0
"3C","Pea",1,28,0
"3C","Pea",1,29,0
"3C","Pea",1,30,0
"3C","Pea",1,31,0
"3C","Pea",1,32,0
"3C","Pea",1,33,0
"3C","Pea",1,34,0
"3C","Pea",1,35,0
"3C","Pea",1,36,0
"3C","Pea",1,37,0
"3C","Pea",1,38,0
"3C","Pea",1,39,0
"3C","Pea",1,40,50
"3C","Pea",2,1,0
"3C","Pea",2,2,0
"3C","Pea",2,3,0
"3C","Pea",2,4,0
"3C","Pea",2,5,0
"3C","Pea",2,6,0
"3C","Pea",2,7,0
"3C","Pea",2,8,0
"3C","Pea",2,9,0
"3C","Pea",2,10,0
"3C","Pea",2,11,0
"3C","Pea",2,12,0
"3C","Pea",2,13,0
"3C","Pea",2,14,0
"3C","Pea",2,15,0
"3C","Pea",2,16,0
"3C","Pea",2,17,0
"3C","Pea",2,18,0
"3C","Pea",2,19,0
"3C","Pea",2,20,0
"3C","Pea",2,21,0
"3C","Pea",2,22,0
"3C","Pea",2,23,0
"3C","Pea",2,24,0
"3C","Pea",2,25,0
"3C","Pea",2,26,0
"3C","Pea",2,27,0
"3C","Pea",2,28,0
"3C","Pea",2,29,0
"3C","Pea",2,30,0
"3C","Pea",2,31,0
"3C","Pea",2,32,0
"3C","Pea",2,33,0
"3C","Pea",2,34,0
"3C","Pea",2,35,0
"3C","Pea",2,36,0
"3C","Pea",2,37,0
"3C","Pea",2,38,0
"3C","Pea",2,39,0
"3C","Pea",2,40,0
"3C","Pea",3,1,0
"3C","Pea",3,2,0
"3C","Pea",3,3,0
"3C","Pea",3,4,0
"3C","Pea",3,5,0
"3C","Pea",3,6,0
"3C","Pea",3,7,0
"3C","Pea",3,8,0
"3C","Pea",3,9,0
"3C","Pea",3,10,0
"3C","Pea",3,11,0
"3C","Pea",3,12,0
"3C","Pea",3,13,0
"3C","Pea",3,14,0
"3C","Pea",3,15,0
"3C","Pea",3,16,0
"3C","Pea",3,17,0
"3C","Pea",3,18,0
"3C","Pea",3,19,0
"3C","Pea",3,20,0
"3C","Pea",3,21,0
"3C","Pea",3,22,0
"3C","Pea",3,23,0
"3C","Pea",3,24,0
"3C","Pea",3,25,0
"3C","Pea",3,26,0
"3C","Pea",3,27,0
"3C","Pea",3,28,0
"3C","Pea",3,29,0
"3C","Pea",3,30,0
"3C","Pea",3,31,0
"3C","Pea",3,32,0
"3C","Pea",3,33,0
"3C","Pea",3,34,0
"3C","Pea",3,35,0
"3C","Pea",3,36,0
"3C","Pea",3,37,0
"3C","Pea",3,38,0
"3C","Pea",3,39,0
"3C","Pea",3,40,0
"3C","Fallow",1,1,0
"3C","Fallow",1,2,0
"3C","Fallow",1,3,0
"3C","Fallow",1,4,0
"3C","Fallow",1,5,0
"3C","Fallow",1,6,0
"3C","Fallow",1,7,0
"3C","Fallow",1,8,0
"3C","Fallow",1,9,0
"3C","Fallow",1,10,50
"3C","Fallow",1,11,50
"3C","Fallow",1,12,0
"3C","Fallow",1,13,0
"3C","Fallow",1,14,0
"3C","Fallow",1,15,0
"3C","Fallow",1,16,0
"3C","Fallow",1,17,0
"3C","Fallow",1,18,0
"3C","Fallow",1,19,0
"3C","Fallow",1,20,0
"3C","Fallow",1,21,0
"3C","Fallow",1,22,0
"3C","Fallow",1,23,0
"3C","Fallow",1,24,50
"3C","Fallow",1,25,0
"3C","Fallow",1,26,0
"3C","Fallow",1,27,0
"3C","Fallow",1,28,0
"3C","Fallow",1,29,0
"3C","Fallow",1,30,0
"3C","Fallow",1,31,0
"3C","Fallow",1,32,0
"3C","Fallow",1,33,0
"3C","Fallow",1,34,0
"3C","Fallow",1,35,50
"3C","Fallow",1,36,0
"3C","Fallow",1,37,0
"3C","Fallow",1,38,0
"3C","Fallow",1,39,0
"3C","Fallow",1,40,0
"3C","Fallow",2,1,0
"3C","Fallow",2,2,0
"3C","Fallow",2,3,0
"3C","Fallow",2,4,0
"3C","Fallow",2,5,0
"3C","Fallow",2,6,0
"3C","Fallow",2,7,0
"3C","Fallow",2,8,0
"3C","Fallow",2,9,0
"3C","Fallow",2,10,0
"3C","Fallow",2,11,0
"3C","Fallow",2,12,0
"3C","Fallow",2,13,0
"3C","Fallow",2,14,0
"3C","Fallow",2,15,0
"3C","Fallow",2,16,0
"3C","Fallow",2,17,0
"3C","Fallow",2,18,0
"3C","Fallow",2,19,0
"3C","Fallow",2,20,0
"3C","Fallow",2,21,0
"3C","Fallow",2,22,0
"3C","Fallow",2,23,0
"3C","Fallow",2,24,0
"3C","Fallow",2,25,50
"3C","Fallow",2,26,50
"3C","Fallow",2,27,0
"3C","Fallow",2,28,0
"3C","Fallow",2,29,0
"3C","Fallow",2,30,0
"3C","Fallow",2,31,50
"3C","Fallow",2,32,50
"3C","Fallow",2,33,0
"3C","Fallow",2,34,0
"3C","Fallow",2,35,0
"3C","Fallow",2,36,0
"3C","Fallow",2,37,0
"3C","Fallow",2,38,50
"3C","Fallow",2,39,50
"3C","Fallow",2,40,0
"3C","Fallow",3,1,0
"3C","Fallow",3,2,0
"3C","Fallow",3,3,0
"3C","Fallow",3,4,0
"3C","Fallow",3,5,0
"3C","Fallow",3,6,0
"3C","Fallow",3,7,0
"3C","Fallow",3,8,0
"3C","Fallow",3,9,0
"3C","Fallow",3,10,0
"3C","Fallow",3,11,0
"3C","Fallow",3,12,50
"3C","Fallow",3,13,0
"3C","Fallow",3,14,50
"3C","Fallow",3,15,50
"3C","Fallow",3,16,0
"3C","Fallow",3,17,0
"3C","Fallow",3,18,0
"3C","Fallow",3,19,0
"3C","Fallow",3,20,0
"3C","Fallow",3,21,0
"3C","Fallow",3,22,0
"3C","Fallow",3,23,0
"3C","Fallow",3,24,0
"3C","Fallow",3,25,0
"3C","Fallow",3,26,0
"3C","Fallow",3,27,50
"3C","Fallow",3,28,0
"3C","Fallow",3,29,50
"3C","Fallow",3,30,0
"3C","Fallow",3,31,50
"3C","Fallow",3,32,0
"3C","Fallow",3,33,0
"3C","Fallow",3,34,0
"3C","Fallow",3,35,0
"3C","Fallow",3,36,0
"3C","Fallow",3,37,0
"3C","Fallow",3,38,0
"3C","Fallow",3,39,0
"3C","Fallow",3,40,0
"3C","Corn",1,1,0
"3C","Corn",1,2,0
"3C","Corn",1,3,0
"3C","Corn",1,4,0
"3C","Corn",1,5,0
"3C","Corn",1,6,0
"3C","Corn",1,7,0
"3C","Corn",1,8,0
"3C","Corn",1,9,0
"3C","Corn",1,10,0
"3C","Corn",1,11,0
"3C","Corn",1,12,0
"3C","Corn",1,13,0
"3C","Corn",1,14,0
"3C","Corn",1,15,0
"3C","Corn",1,16,0
"3C","Corn",1,17,0
"3C","Corn",1,18,0
"3C","Corn",1,19,0
"3C","Corn",1,20,50
"3C","Corn",1,21,50
"3C","Corn",1,22,0
"3C","Corn",1,23,0
"3C","Corn",1,24,0
"3C","Corn",1,25,0
"3C","Corn",1,26,0
"3C","Corn",1,27,0
"3C","Corn",1,28,0
"3C","Corn",1,29,0
"3C","Corn",1,30,0
"3C","Corn",1,31,0
"3C","Corn",1,32,0
"3C","Corn",1,33,0
"3C","Corn",1,34,0
"3C","Corn",1,35,0
"3C","Corn",1,36,0
"3C","Corn",1,37,0
"3C","Corn",1,38,0
"3C","Corn",1,39,0
"3C","Corn",1,40,0
"3C","Corn",2,1,0
"3C","Corn",2,2,0
"3C","Corn",2,3,0
"3C","Corn",2,4,0
"3C","Corn",2,5,0
"3C","Corn",2,6,0
"3C","Corn",2,7,0
"3C","Corn",2,8,0
"3C","Corn",2,9,0
"3C","Corn",2,10,0
"3C","Corn",2,11,0
"3C","Corn",2,12,0
"3C","Corn",2,13,0
"3C","Corn",2,14,0
"3C","Corn",2,15,0
"3C","Corn",2,16,0
"3C","Corn",2,17,0
"3C","Corn",2,18,0
"3C","Corn",2,19,0
"3C","Corn",2,20,0
"3C","Corn",2,21,0
"3C","Corn",2,22,0
"3C","Corn",2,23,0
"3C","Corn",2,24,0
"3C","Corn",2,25,0
"3C","Corn",2,26,0
"3C","Corn",2,27,0
"3C","Corn",2,28,0
"3C","Corn",2,29,0
"3C","Corn",2,30,0
"3C","Corn",2,31,0
"3C","Corn",2,32,0
"3C","Corn",2,33,0
"3C","Corn",2,34,0
"3C","Corn",2,35,0
"3C","Corn",2,36,0
"3C","Corn",2,37,0
"3C","Corn",2,38,0
"3C","Corn",2,39,0
"3C","Corn",2,40,0
"3C","Corn",3,1,0
"3C","Corn",3,2,0
"3C","Corn",3,3,0
"3C","Corn",3,4,0
"3C","Corn",3,5,0
"3C","Corn",3,6,0
"3C","Corn",3,7,0
"3C","Corn",3,8,0
"3C","Corn",3,9,0
"3C","Corn",3,10,0
"3C","Corn",3,11,0
"3C","Corn",3,12,0
"3C","Corn",3,13,0
"3C","Corn",3,14,0
"3C","Corn",3,15,0
"3C","Corn",3,16,0
"3C","Corn",3,17,0
"3C","Corn",3,18,0
"3C","Corn",3,19,0
"3C","Corn",3,20,0
"3C","Corn",3,21,0
"3C","Corn",3,22,0
"3C","Corn",3,23,0
"3C","Corn",3,24,0
"3C","Corn",3,25,0
"3C","Corn",3,26,0
"3C","Corn",3,27,0
"3C","Corn",3,28,0
"3C","Corn",3,29,0
"3C","Corn",3,30,0
"3C","Corn",3,31,0
"3C","Corn",3,32,0
"3C","Corn",3,33,50
"3C","Corn",3,34,50
"3C","Corn",3,35,0
"3C","Corn",3,36,0
"3C","Corn",3,37,0
"3C","Corn",3,38,0
"3C","Corn",3,39,0
"3C","Corn",3,40,0
"3C","Cabbage",1,1,0
"3C","Cabbage",1,2,0
"3C","Cabbage",1,3,0
"3C","Cabbage",1,4,0
"3C","Cabbage",1,5,0
"3C","Cabbage",1,6,0
"3C","Cabbage",1,7,0
"3C","Cabbage",1,8,0
"3C","Cabbage",1,9,0
"3C","Cabbage",1,10,0
"3C","Cabbage",1,11,0
"3C","Cabbage",1,12,0
"3C","Cabbage",1,13,0
"3C","Cabbage",1,14,0
"3C","Cabbage",1,15,0
"3C","Cabbage",1,16,0
"3C","Cabbage",1,17,50
"3C","Cabbage",1,18,0
"3C","Cabbage",1,19,0
"3C","Cabbage",1,20,0
"3C","Cabbage",1,21,0
"3C","Cabbage",1,22,0
"3C","Cabbage",1,23,0
"3C","Cabbage",1,24,0
"3C","Cabbage",1,25,0
"3C","Cabbage",1,26,0
"3C","Cabbage",1,27,0
"3C","Cabbage",1,28,0
"3C","Cabbage",1,29,0
"3C","Cabbage",1,30,0
"3C","Cabbage",1,31,0
"3C","Cabbage",1,32,0
"3C","Cabbage",1,33,0
"3C","Cabbage",1,34,0
"3C","Cabbage",1,35,50
"3C","Cabbage",1,36,0
"3C","Cabbage",1,37,0
"3C","Cabbage",1,38,0
"3C","Cabbage",1,39,0
"3C","Cabbage",1,40,0
"3C","Cabbage",2,1,0
"3C","Cabbage",2,2,0
"3C","Cabbage",2,3,0
"3C","Cabbage",2,4,0
"3C","Cabbage",2,5,0
"3C","Cabbage",2,6,0
"3C","Cabbage",2,7,0
"3C","Cabbage",2,8,0
"3C","Cabbage",2,9,0
"3C","Cabbage",2,10,0
"3C","Cabbage",2,11,0
"3C","Cabbage",2,12,0
"3C","Cabbage",2,13,0
"3C","Cabbage",2,14,0
"3C","Cabbage",2,15,0
"3C","Cabbage",2,16,0
"3C","Cabbage",2,17,0
"3C","Cabbage",2,18,0
"3C","Cabbage",2,19,0
"3C","Cabbage",2,20,0
"3C","Cabbage",2,21,0
"3C","Cabbage",2,22,0
"3C","Cabbage",2,23,0
"3C","Cabbage",2,24,0
"3C","Cabbage",2,25,0
"3C","Cabbage",2,26,0
"3C","Cabbage",2,27,0
"3C","Cabbage",2,28,0
"3C","Cabbage",2,29,0
"3C","Cabbage",2,30,0
"3C","Cabbage",2,31,0
"3C","Cabbage",2,32,0
"3C","Cabbage",2,33,0
"3C","Cabbage",2,34,0
"3C","Cabbage",2,35,0
"3C","Cabbage",2,36,0
"3C","Cabbage",2,37,0
"3C","Cabbage",2,38,0
"3C","Cabbage",2,39,0
"3C","Cabbage",2,40,0
"3C","Cabbage",3,1,0
"3C","Cabbage",3,2,0
"3C","Cabbage",3,3,0
"3C","Cabbage",3,4,0
"3C","Cabbage",3,5,0
"3C","Cabbage",3,6,0
"3C","Cabbage",3,7,0
"3C","Cabbage",3,8,0
"3C","Cabbage",3,9,0
"3C","Cabbage",3,10,0
"3C","Cabbage",3,11,0
"3C","Cabbage",3,12,0
"3C","Cabbage",3,13,0
"3C","Cabbage",3,14,0
"3C","Cabbage",3,15,0
"3C","Cabbage",3,16,0
"3C","Cabbage",3,17,0
"3C","Cabbage",3,18,0
"3C","Cabbage",3,19,0
"3C","Cabbage",3,20,0
"3C","Cabbage",3,21,0
"3C","Cabbage",3,22,0
"3C","Cabbage",3,23,0
"3C","Cabbage",3,24,0
"3C","Cabbage",3,25,0
"3C","Cabbage",3,26,0
"3C","Cabbage",3,27,50
